ID,UTM.zone,Y_start,X_start,Y_end,X_end,date_start
221,47N,188317,498784,189316,500267,07/07/2006
222,47N,187369,498599,189230,500744,07/08/2006
223,47N,187011,498568,186909,499911,14/07/2006
224,47N,185835,498464,185984,500221,15/07/2006
225,47N,308599.59,402133.05,308061.73,402163.66,28/01/2009
226,47N,309012.97,402213.69,309107.51,403023.56,29/01/2009
227,47N,308443.82,402201.2,308190.09,402952.32,30/01/2009
228,47N,308714.47,402108.67,308669.24,402715.25,31/01/2009
229,47N,304684.25,410291.5,304681.09,411195.26,28/01/2009
230,47N,304459.67,410215.72,303618.08,410315.37,29/01/2009
231,47N,305442.74,409825.1,304886.08,409166.92,30/01/2009
232,47N,304558.36,410412.07,303913.02,410987.78,31/01/2009
233,47N,297076.4,418943.87,298035.28,419046.14,02/03/2009
234,47N,296613.21,419150.61,296471.8,420056.45,02/04/2009
235,47N,296810.4,418821.75,296739.7,417800.72,02/05/2009
236,47N,296494.54,419078.7,295614.83,419467.61,02/06/2009
237,47N,295690.43,410501.94,296515.98,410616.02,02/03/2009
238,47N,295995.52,410478,296402.44,409802.28,02/04/2009
239,47N,295633.5,410531.99,295588.16,411534.53,02/05/2009
240,47N,295671.82,410758.19,296213.15,411082.81,02/06/2009
241,47N,298287.53,401589.8,299274.8,401596.42,02/09/2009
242,47N,299056.61,400885.23,299034.17,400574.76,02/09/2009
243,47N,298547.29,401734.56,298358.58,402779.82,02/10/2009
244,47N,298644.34,400941.52,298627.18,400153.91,02/10/2009
245,47N,298388.49,401275.85,299467.43,401243.48,02/11/2009
246,47N,298346.56,400954.85,298364.71,400435.01,02/11/2009
247,47N,291795.98,407809.76,291716.58,406844.27,15/02/2009
248,47N,291335.47,408051.08,290054.44,406862.35,16/02/2009
249,47N,290971.81,407913.4,290439.45,408119.98,17/02/2009
250,47N,291177.94,407889.15,291475.45,407123.53,18/02/2009
251,47N,290153.18,409763.46,289943.34,410825.4,15/02/2009
252,47N,290158.96,410080.15,291118.32,410297.97,16/02/2009
253,47N,290052.67,409631.14,288980.51,409630.31,17/02/2009
254,47N,289786.37,409761.57,289541.25,410702.84,18/02/2009
255,47N,540987.5,181124.26,541232.84,181732.11,05/11/2009
256,47N,540866.42,181274.64,539748.85,180847.06,05/12/2009
257,47N,526285.72,332653.05,525999.29,333085.11,11/03/2009
258,47N,544498.86,332719.19,544762.8,332746.24,11/04/2009
259,47N,536036.36,312966.78,535348.52,313574.96,11/10/2009
260,47N,541869.68,183960.66,541869.68,183960.66,21/11/2009
261,47N,289052,431231,289035,430817,14/07/2010
262,47N,293003,427495,293047,429168,19/07/2010
263,47N,457823,257347,457741,256277,09-May-12
264,47N,506775,309665,507062,310718,31/05/2012
265,47N,421650,401758,421004,400025,16/12/2016 00:00
266,47N,420988,401483,421530,400547,14/12/2016 00:00
267,47N,420557,400815,421902,401062,15/12/2016 00:00
268,47N,358882,320139,358176,320133,04/11/2019 00:00
269,47N,359413,320608,359493,321469,05/11/2019 00:00
270,47N,258933,367768,259444,368871,12/11/2019 00:00
271,47N,183380,526617,182984,527363,23/03/2020 00:00
272,47N,182948,526146,183029,525315,24/03/2020 00:00
